time,open,high,low,close,Upper Band,Lower Band,SMA,Volume,RSI,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2024-10-20T21:48:00-04:00,134.09,134.1,134.09,134.1,134.10999999960592,134.0860000003941,134.098,4,67.52213977791988,67.52213977791988,75.072853003148,NaN,NaN,NaN,NaN
2024-10-20T21:49:00-04:00,134.1,134.1,134.1,134.1,134.1077177968589,134.09028220314113,134.09900000000002,1,67.52213977791988,67.52213977791988,74.17134552443233,NaN,NaN,NaN,NaN
2024-10-20T21:50:00-04:00,134.09,134.09,134.08,134.09,134.1077177968589,134.09028220314113,134.09900000000002,201,50.25411592668009,50.25411592668009,72.0364077706281,NaN,NaN,NaN,NaN
2024-10-20T21:52:00-04:00,134.09,134.1,134.09,134.1,134.1071811437327,134.09181885626737,134.09950000000003,33,60.99619031002368,60.99619031002368,70.66876104420557,NaN,NaN,NaN,NaN
2024-10-20T21:53:00-04:00,134.1,134.1,134.1,134.1,134.1063245529396,134.09367544706043,134.10000000000002,15,60.99619031002368,60.99619031002368,69.30111431778303,NaN,NaN,NaN,NaN
2024-10-20T21:54:00-04:00,134.1,134.1,134.1,134.1,134.1063245506388,134.0936754493613,134.10000000000005,2,60.99619031002368,60.99619031002368,67.93346759136048,NaN,NaN,NaN,NaN
2024-10-20T21:56:00-04:00,134.1,134.11,134.1,134.11,134.10818114278547,134.0928188572146,134.10050000000004,5,69.2811440732913,69.2811440732913,67.15760327659991,NaN,NaN,NaN,NaN
2024-10-20T21:58:00-04:00,134.1,134.1,134.1,134.1,134.10818114278547,134.0928188572146,134.10050000000004,21,56.38327312223445,56.38327312223445,65.46046246533528,NaN,NaN,NaN,NaN
2024-10-20T21:59:00-04:00,134.09,134.1,134.09,134.1,134.10818114278547,134.0928188572146,134.10050000000004,2,56.38327312223445,56.38327312223445,63.42466825856785,NaN,NaN,NaN,NaN
2024-10-20T22:00:00-04:00,134.09,134.1,134.09,134.1,134.10818114278547,134.0928188572146,134.10050000000004,3,56.38327312223445,56.38327312223445,62.629034926018896,NaN,NaN,NaN,NaN
2024-10-20T22:02:00-04:00,134.09,134.09,134.09,134.09,134.1089442701701,134.09105572982995,134.10000000000002,2,45.74640058132123,45.74640058132123,61.073624983404706,NaN,NaN,NaN,NaN
2024-10-20T22:03:00-04:00,134.1,134.1,134.1,134.1,134.1089442701701,134.09105572982995,134.10000000000002,3,54.90758893607273,54.90758893607273,60.17258563755848,NaN,NaN,NaN,NaN
2024-10-20T22:04:00-04:00,134.09,134.09,134.09,134.09,134.10944987422712,134.0895501257729,134.0995,4,46.459105068792645,46.459105068792645,58.6680831583351,NaN,NaN,NaN,NaN
2024-10-20T22:05:00-04:00,134.09,134.09,134.09,134.09,134.1097703300862,134.08822966991377,134.099,1,46.45910506879264,46.45910506879264,57.163580679111725,NaN,NaN,NaN,NaN
2024-10-20T22:06:00-04:00,134.09,134.09,134.09,134.09,134.108198038613,134.08780196138702,134.098,2,46.459105068792645,46.459105068792645,55.659078199888356,NaN,NaN,NaN,NaN
2024-10-20T22:07:00-04:00,134.1,134.1,134.1,134.1,134.108198038613,134.08780196138702,134.098,52,55.0897946451793,55.0897946451793,54.77105354754974,NaN,NaN,NaN,NaN
2024-10-20T22:08:00-04:00,134.09,134.1,134.09,134.09,134.1082238040568,134.08677619594326,134.09750000000003,12,46.94094376181477,46.94094376181477,54.5343983929165,NaN,NaN,NaN,NaN
2024-10-20T22:09:00-04:00,134.09,134.1,134.09,134.1,134.10822380473527,134.08677619526478,134.09750000000003,3,54.231730466422825,54.231730466422825,54.05122268980215,NaN,NaN,NaN,NaN
2024-10-20T22:10:00-04:00,134.09,134.1,134.09,134.1,134.10822380473527,134.08677619526478,134.09750000000003,3,54.231730466422825,54.231730466422825,53.568046986687804,NaN,NaN,NaN,NaN
2024-10-20T22:11:00-04:00,134.1,134.11,134.1,134.11,134.10999999960592,134.0860000003941,134.098,48,60.52287615843101,60.52287615843101,53.53423883300261,NaN,NaN,NaN,NaN
2024-10-20T22:12:00-04:00,134.11,134.11,134.1,134.11,134.11157669709667,134.08542330290334,134.0985,20,60.52287615843101,60.52287615843101,52.90864826765545,NaN,NaN,NaN,NaN
2024-10-20T22:14:00-04:00,134.1,134.1,134.1,134.1,134.11157669709667,134.08542330290334,134.0985,2,52.201129053351906,52.201129053351906,52.60992369130669,NaN,NaN,NaN,NaN
2024-10-20T22:16:00-04:00,134.1,134.11,134.1,134.11,134.11287908743387,134.0861209125662,134.09950000000003,3,58.36604682238071,58.36604682238071,52.75155038417429,NaN,NaN,NaN,NaN
2024-10-20T22:17:00-04:00,134.11,134.11,134.11,134.11,134.11414213544512,134.08585786455492,134.10000000000002,2,58.36604682238071,58.36604682238071,52.89317707704188,NaN,NaN,NaN,NaN
2024-10-20T22:18:00-04:00,134.1,134.1,134.1,134.1,134.1141421359596,134.08585786404043,134.10000000000002,19,50.7715433985019,50.7715433985019,53.25211584969764,NaN,NaN,NaN,NaN
